日期,收盘,开盘,高,低,交易量,涨跌幅
2022/2/25,62.85,60.94,62.9,60.92,21.37M,3.87%
2022/2/24,60.51,59.97,60.62,59.22,27.15M,-1.75%
2022/2/23,61.59,62.24,62.33,61.34,19.23M,-1.11%
2022/2/22,62.28,62.43,62.64,61.72,21.52M,-0.42%
2022/2/18,62.54,62.12,62.82,61.99,21.98M,0.68%
2022/2/17,62.12,60.55,62.28,60.4,21.45M,2.00%
2022/2/16,60.9,60.86,61.4,60.56,12.29M,-0.02%
2022/2/15,60.91,60.96,61.78,60.63,13.41M,0.38%
2022/2/14,60.68,60.16,60.79,59.28,23.49M,0.65%
2022/2/11,60.29,61.77,61.98,60.15,22.78M,-1.78%
2022/2/10,61.38,60.36,62.3,60.2,23.37M,0.56%
2022/2/9,61.04,62.17,62.32,60.9,23.32M,-1.55%
2022/2/8,62,61.83,62.33,61.74,18.77M,0.65%
2022/2/7,61.6,61.38,61.72,60.86,17.83M,1.05%
2022/2/4,60.96,61.49,61.68,60.57,17.40M,-1.06%
2022/2/3,61.61,60.94,61.78,60.58,19.40M,0.70%
2022/2/2,61.18,60.62,61.27,60.56,19.58M,1.02%
2022/2/1,60.56,60.91,61.14,60.16,20.12M,-0.74%
2022/1/31,61.01,60.3,61.14,60.15,20.77M,0.28%
2022/1/28,60.84,59.39,60.89,58.94,19.10M,1.99%
2022/1/27,59.65,59.88,60.92,59.5,18.61M,0.08%
2022/1/26,59.6,59.79,60.35,59.21,19.17M,-0.37%
2022/1/25,59.82,59.36,60.04,58.69,18.50M,-0.23%
2022/1/24,59.96,59.9,60.35,58.57,27.97M,-0.81%
2022/1/21,60.45,61.08,61.3,60.4,26.64M,-0.49%
2022/1/20,60.75,61,61.44,60.72,22.87M,-0.41%
2022/1/19,61,60.66,61.18,60.56,18.07M,0.16%
2022/1/18,60.9,61.06,61.19,60.45,20.62M,-0.80%
2022/1/14,61.39,60.94,61.45,60.36,19.73M,0.80%
2022/1/13,60.9,60.54,61.04,60.38,12.90M,0.59%
2022/1/12,60.54,60.53,60.69,60.19,15.75M,0.15%
2022/1/11,60.45,60.43,60.49,59.84,17.59M,0.03%
2022/1/10,60.43,60.55,60.82,60.18,20.94M,0.17%
2022/1/7,60.33,60.28,60.72,60.06,12.31M,-0.23%
2022/1/6,60.47,60.47,61.12,60.44,17.66M,-0.53%
2022/1/5,60.79,60.09,61.19,60.05,20.91M,0.83%
2022/1/4,60.29,59.73,60.53,59.59,25.76M,1.67%
2022/1/3,59.3,58.82,59.31,58.38,19.97M,0.15%
2021/12/31,59.21,58.75,59.35,58.69,10.01M,0.73%
2021/12/30,58.78,59.06,59.23,58.76,7.70M,-0.29%
2021/12/29,58.95,58.95,59.1,58.66,9.94M,0.12%
2021/12/28,58.88,58.4,58.94,58.3,8.87M,0.39%
2021/12/27,58.65,58,58.69,58,9.68M,0.74%
2021/12/23,58.22,58.52,58.61,57.94,11.03M,0.07%
2021/12/22,58.18,57.71,58.19,57.49,12.27M,0.71%
2021/12/21,57.77,57.61,57.97,57.53,15.32M,0.40%
2021/12/20,57.54,57.2,57.78,57,20.78M,-0.33%
2021/12/17,57.73,58.49,58.92,57.7,51.90M,-1.57%
2021/12/16,58.65,57.98,58.88,57.9,23.93M,1.02%
2021/12/15,58.06,57.93,58.25,57.65,24.22M,0.45%
2021/12/14,57.8,57.4,58.17,57.4,22.80M,0.07%
2021/12/13,57.76,56.98,57.93,56.96,30.18M,2.63%
2021/12/10,56.28,55.25,56.32,55.07,23.15M,2.59%
2021/12/9,54.86,54.75,55.13,54.58,13.81M,-0.25%
2021/12/8,55,55.12,55.35,54.36,18.03M,-0.38%
2021/12/7,55.21,55.02,55.41,54.85,23.83M,0.55%
2021/12/6,54.91,54.31,55.25,54.14,26.62M,2.56%
2021/12/3,53.54,53.33,53.61,52.98,21.06M,0.89%
2021/12/2,53.07,52.6,53.34,52.51,17.07M,1.47%
2021/12/1,52.3,52.98,53.52,52.28,18.72M,-0.29%
2021/11/30,52.45,53.6,53.62,52.44,30.49M,-3.90%
2021/11/29,54.58,54.05,54.73,53.93,22.71M,1.58%
2021/11/26,53.73,54.59,54.75,53.58,14.75M,-3.07%
2021/11/24,55.43,55.71,55.84,55.03,12.60M,-0.81%
2021/11/23,55.88,55.66,56.11,55.5,13.84M,0.74%
2021/11/22,55.47,55.1,56.02,55.08,16.91M,0.62%
2021/11/19,55.13,55.44,55.48,54.9,15.81M,-0.51%
2021/11/18,55.41,55.83,55.93,55.14,15.38M,-0.89%
2021/11/17,55.91,56.04,56.05,55.65,13.29M,-0.55%
2021/11/16,56.22,56.62,56.94,56.19,13.76M,-0.71%
2021/11/15,56.62,56.53,56.68,56.27,10.29M,0.02%
2021/11/12,56.61,56.75,56.98,56.55,10.16M,-0.23%
2021/11/11,56.74,56.83,56.88,56.57,7.26M,0.04%
2021/11/10,56.72,56.54,56.92,56.29,8.81M,0.41%
2021/11/9,56.49,56.41,56.52,56.09,10.16M,0.28%
2021/11/8,56.33,56.75,56.89,56.13,12.83M,-0.90%
2021/11/5,56.84,56.84,57.16,56.59,12.89M,0.42%
2021/11/4,56.6,56.11,56.63,56.03,10.82M,0.55%
